丑	チュウ	Знак Быка	チュウ    うし	ひろ		sign of the ox or cow, 1-3AM, second sign of Chinese zodiac 
鯖	セイ	Скумбрия	セイ    ショウ    さば			mackerel 
鯛	チョウ	Морской карась	チョウ    たい			sea bream, red snapper 
鯵	ソウ	Ставрида	ソウ    あじ			horse mackerel 
鰍	シュウ	Подкаменщик	シュウ    シュ    かじか    いなだ    どじょう			bullhead 
鰐	ガク	Крокодил	ガク    わに			alligator, crocodile 
鰭	キ	Плавник	キ    ギ    ひれ			fin 
鰯		Иваси	いわし			sardine, (kokuji) 
鰹	ケン	Полосатый тунец	ケン    かつお			bonito 
鰻	マン	Угорь	マン    バン    うなぎ			eel 
鱈		Треска	セツ    たら			codfish, (kokuji) 
鱒	ソン	Сима	ソン    セン    ザン    ます			salmon trout 
鱗	リン	Чешуя	リン    うろこ    こけ    こけら			scales (fish) 
鳩	キュウ	Голубь	キュウ    ク    はと    あつ.める	やす		pigeon, dove 
鳳	ホウ	Феникс	ホウ    フウ	おおとり    ふげ		male mythical bird 
鳶	エン	Коршун	エン    とび    とんび			black kite, fireman, hook 
鴇	ホウ	Ибис	ホウ    とき    のがん			wild goose, madam of a brothel, crested ibis 
鴎	オウ	Чайка	オウ    かもめ			seagull 
鴛	エン	Утка-мандаринка	エン    オン    おし    おしどり			male mandarin duck 
鴦	オウ	Утка-мандаринка	オウ			female mandarin duck 
鴨	オウ	Утка	オウ    かも    あひる			wild duck, easy mark 
鴫		Бекас	しぎ			snipe, (kokuji) 
鴬	オウ	Соловей	オウ    うぐいす			nightingale, bush warbler 
鴻	コウ	Гуменник	コウ    おおとり    ひしくい			large bird, wild goose 
鵜	テイ	Баклан	テイ    ダイ    う			cormorant 
鵠	コク	Лебедь	コク    コウ    くぐい    まと			swan 
鵡	ム	Какаду	ブ    ム			cockatoo 
鵬	ホウ	Птица Хо	ホウ    おおとり			phoenix 
鷲	シュウ	Орёл	シュウ    ジュ	す    わ    わせ		eagle 
鷹	ヨウ	Сокол	ヨウ    オウ    たか			hawk 
鷺	ロ	Цапля	ロ    さぎ			heron 
鸚	オウ	Попугай	オオ    イン    オウ    ヨウ			parrot, parakeet 
鹸	ケン	Мыло	ケン    カン    セン    あ.く			saltiness 
麒	キ	Цзилинь	キ			Chinese unicorn, genius, giraffe, bright, shining 
麟	リン	Цзилинь	リン			Chinese unicorn, genius, giraffe, bright, shining 
麹	キク	Солод	キク    こうじ			malt, yeast 
麿		Суффикс мужских имён	まろ	ま		I, you, (kokuji) 
黍	ショ	Просо	ショ    きび			millet 
黎	レイ	Народ	レイ    リ    くろ.い	れ		dark, black, many 
黛	タイ	Подведённые брови	タイ    まゆずみ			blackened eyebrows 
鼎	テイ	Треножник	テイ    かなえ			three legged kettle 
鼠	ソ	Крыса	ソ    ショ    ねずみ    ねず			rat, mouse, dark gray 
龝	シュウ	Осень	シュウ    あき    とき			autumn 
